track,field_name,rule_subtype,null_status,birth_entity,terminal_entity,required_path,primary_upstream,concept,implementation_note
taxonomy,DEMO-ID,copia_identidade,,APP.INPUT1.ORIGINAL,APP.ARQ.SAIDA.CBLDB001,APP.INPUT1.ORIGINAL > &&TMPIN001 > &&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,APP.INPUT1.ORIGINAL,Copia 1:1 sem regra adicional,Campo existe nas quatro entidades para o viewer mostrar a trilha completa do copy
taxonomy,DEMO-ORD,reordenacao_registro,,APP.INPUT2.ORIGINAL,APP.ARQ.SAIDA.CBLDB001,APP.INPUT2.ORIGINAL > &&TMPIN002 > &&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,APP.INPUT2.ORIGINAL,Campo simples que atravessa o SORT e preserva a narrativa de reorder,Subtipo deve ficar ancorado no step S002 e seguir 1:1 ate a saida
taxonomy,DEMO-ENR,copia_enriquecimento_registro,,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03,Copia final com enriquecimento no ultimo step,O valor nasce no temporario final e recebe marcador extra apenas no S004
taxonomy,DEMO-LKP,busca_valor,,APPDB.CLIENTE_MOVTO,APP.ARQ.SAIDA.CBLDB001,APPDB.CLIENTE_MOVTO > &&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,APPDB.CLIENTE_MOVTO,Valor vindo do lookup DB2,Usar um campo curto com origem exclusiva na tabela DB2
taxonomy,DEMO-KEY,uso_chave_busca,,&&TMPIN002,APP.ARQ.SAIDA.CBLDB001,&&TMPIN002 > &&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,&&TMPIN002,Campo cuja historia principal e servir como chave do lookup,Regra deve destacar a chave de pesquisa mesmo quando o valor final for copiado 1:1
taxonomy,DEMO-CALC,calculo_derivado,,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,&&TMPIN001;APPDB.CLIENTE_MOVTO,Calculo com duas origens reais,O target nasce em S003 a partir de um input do arquivo e um valor de DB2
taxonomy,DEMO-DER,derivacao_condicional,,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,&&TMPIN001;&&TMPIN002,Derivacao que escolhe entre valores de origem conforme condicao,Evitar constantes aqui para nao conflitar com constante_condicional
taxonomy,DEMO-COND,constante_condicional,,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,&&TMPIN001,Condicao que escolhe entre constantes curtas,O upstream real so decide a bifurcacao e o valor final deve ser literal curto
taxonomy,DEMO-FIXO,constante_literal,,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,sem_upstream,Literal fixo sem origem real,Campo nasce ja preenchido em S003 e deve virar origem sintetica HARD_CODE
taxonomy,DEMO-RAW,nao_classificada,,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,&&TMPIN001,Regra livre mantida propositalmente fora da taxonomia analitica,Usar expressao curta mas deixar o rule_subtype como nao_classificada
null,DEMO-NULL1,,sem_upstream,&&TMPOUT03,&&TMPOUT03,sem_upstream,Campo aparece no schema sem mapping real,Campo narrativo da trilha null; deve ficar sem upstream e sem regra de preenchimento na primeira etapa onde existe
null,DEMO-NULL2,,propagado,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,sem_upstream,Campo vazio e propagado para a etapa seguinte ainda sem origem real,Campo narrativo da trilha null; usar copia do vazio no S004 para manter o status unfilled no destino
null,DEMO-FILL,,resolvido,&&TMPOUT03,APP.ARQ.SAIDA.CBLDB001,&&TMPOUT03 > APP.ARQ.SAIDA.CBLDB001,sem_upstream;regra_final,Trilha que comeca vazia e so fica resolvida no ultimo passo,Campo narrativo da trilha null; deve nascer vazio em &&TMPOUT03 e receber uma regra final explicita em S004